date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:23	420332/420332	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d83iumtlme4b90bw%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-solid-900.ttf	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-solid-900.ttf	(from https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b)
01:31:23	4792/4792	---M--	200	added ('OK')	font/woff2	etag:%22d83iumtlme4b3p4%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-v4compatibility.woff2	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-v4compatibility.woff2	(from https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b)
01:31:24	10832/10832	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d83iumtlme4b8cw%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-v4compatibility.ttf	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-v4compatibility.ttf	(from https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b)
01:31:24	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:24%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:25	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:25%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:25	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:25%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:26	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:26%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:26	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:26%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:27	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:27%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:27	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:27%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:28	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:28%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/index.html)
01:31:28	21782/21782	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumt7xf58gt2%22	https://matplotlib.org/stable/_static/searchtools.js	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/searchtools.js	(from https://matplotlib.org/stable/search.html)
01:31:29	4598/4598	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumt1dngm3jq%22	https://matplotlib.org/stable/_static/language_data.js	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/language_data.js	(from https://matplotlib.org/stable/search.html)
01:31:29	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:29%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/search.html)
01:31:30	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:30%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/search.html)
01:31:32	38687/38687	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/install/environment_variables_faq.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/install/environment_variables_faq.html	(from https://matplotlib.org/stable/install/index.html)
01:31:32	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:32%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.55.delayed	(from https://matplotlib.org/stable/install/index.html)
01:31:32	0/-1	---M--	302	error ('')			https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.56.delayed	(from https://matplotlib.org/stable/install/index.html)
01:31:33	35868/35868	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/explain/figure/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/explain/figure/index.html	(from https://matplotlib.org/stable/install/index.html)
01:31:33	69041/69041	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/explain/figure/figure_intro.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/explain/figure/figure_intro.html	(from https://matplotlib.org/stable/install/index.html)
